,player,pos,age,team_id,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg
85,Earl Clark,PF,22,PHO,51,0,383,7.4,19.9,.371,0.3,0.7,.400,7.1,19.2,.370,3.4,4.7,.722,2.4,5.8,8.2,2.8,0.9,1.7,3.0,3.3,18.4,,89,111
86,Jarron Collins,C,31,PHO,34,10,261,2.3,6.0,.387,0.0,0.0,,2.3,6.0,.387,1.9,4.8,.400,4.2,7.7,12.0,1.2,0.4,0.6,1.9,8.1,6.6,,93,112
87,Jason Collins,C,31,ATL,24,0,115,3.7,10.7,.348,0.0,0.5,.000,3.7,10.2,.364,0.0,0.9,.000,2.3,4.2,6.5,1.9,1.4,0.9,2.3,9.7,7.4,,73,109
88,Mardy Collins,SG,25,LAC,43,0,470,5.2,14.1,.367,0.4,1.9,.235,4.7,12.2,.387,1.4,2.3,.619,1.4,4.1,5.5,4.9,2.5,0.1,3.5,5.0,12.2,,82,111
89,Darren Collison,PG,22,NOH,76,37,2109,9.2,19.4,.477,1.1,2.8,.400,8.1,16.6,.490,3.6,4.3,.851,1.0,3.7,4.7,10.6,1.9,0.1,5.0,2.3,23.2,,105,112
90,Nick Collison,C,29,OKC,75,5,1557,6.0,10.2,.589,0.0,0.1,.250,6.0,10.1,.593,2.5,3.5,.692,5.0,7.7,12.7,1.3,1.2,1.6,2.1,7.6,14.5,,120,105
91,Mike Conley,PG,22,MEM,80,80,2569,7.4,16.6,.445,1.6,4.2,.387,5.7,12.3,.464,2.8,3.7,.743,0.6,3.2,3.8,8.5,2.2,0.2,3.4,3.6,19.2,,108,112
92,Will Conroy,PG,27,HOU,5,0,36,4.3,14.2,.300,0.0,4.3,.000,4.3,9.9,.429,0.0,2.8,.000,0.0,4.3,4.3,9.9,0.0,0.0,5.7,7.1,8.5,,63,113
93,Brian Cook,PF,29,HOU,15,0,44,8.1,26.7,.304,2.3,10.4,.222,5.8,16.2,.357,5.8,8.1,.714,1.2,9.3,10.4,1.2,0.0,2.3,7.0,5.8,24.4,,72,108
94,Daequan Cook,SG,22,MIA,45,3,691,6.3,19.6,.320,3.1,9.8,.317,3.2,9.8,.323,1.6,1.9,.840,0.7,5.7,6.4,3.3,1.1,0.8,1.9,3.9,17.3,,90,107
95,Jamal Crawford,SG,29,ATL,79,0,2460,10.7,23.9,.449,3.5,9.2,.382,7.2,14.7,.491,5.8,6.8,.857,0.7,3.6,4.4,5.2,1.3,0.3,3.0,2.9,30.9,,114,110
96,Dante Cunningham,PF,22,POR,63,2,707,8.2,16.6,.495,0.0,0.2,.000,8.2,16.4,.500,2.4,3.7,.646,4.2,8.2,12.4,1.1,1.9,1.7,1.2,7.5,18.8,,112,104
97,Eddy Curry,C,27,NYK,7,0,62,6.6,17.3,.381,0.0,0.0,,6.6,17.3,.381,8.2,14.0,.588,3.3,7.4,10.7,0.0,0.0,0.8,10.7,10.7,21.4,,68,114
98,JamesOn Curry,PG,24,LAC,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
99,Stephen Curry,PG,21,GSW,80,77,2896,8.7,18.9,.462,2.7,6.3,.437,6.0,12.6,.474,2.9,3.3,.885,0.8,5.1,5.9,7.8,2.5,0.3,4.0,4.2,23.1,,107,111
100,Samuel Dalembert,C,28,PHI,82,80,2124,7.0,12.9,.545,0.0,0.0,,7.0,12.9,.545,2.4,3.3,.729,5.9,13.5,19.3,1.6,1.0,3.7,3.0,6.2,16.5,,110,105
101,Erick Dampier,C,34,DAL,55,47,1280,5.4,8.6,.624,0.0,0.1,.333,5.4,8.5,.629,2.5,4.1,.604,5.2,11.0,16.2,1.3,0.6,3.1,2.5,6.2,13.3,,118,104
102,Marquis Daniels,SF,29,BOS,51,4,937,6.9,13.9,.498,0.3,1.6,.214,6.6,12.4,.534,1.9,3.1,.607,1.5,3.8,5.3,3.7,1.5,0.3,2.3,5.1,16.1,,102,107
103,Baron Davis,PG,30,LAC,75,73,2523,8.5,20.9,.406,1.7,6.1,.277,6.8,14.8,.459,4.9,6.0,.821,1.1,4.4,5.5,12.3,2.6,0.9,4.3,4.3,23.5,,105,109
